images\med_7d5c2b99_013.png	carbimazole 5mg
images\med_2171bf1c_019.png	PREGABALIN 75MG
images\med_5a94c15f_009.png	Clotrimazole1%CreamCream
images\med_06d5617a_009.png	Cifran 500mg
images\med_21924655_017.png	Dexamethasone 0.5mg
images\med_018099b1_008.png	RISPERIDONE
images\med_ecd67f3a_011.png	johnson & johnson india
images\med_5a846311_001.png	Oseltamivir 75Mg
images\med_b65b6f2d_006.png	atorvastatin 10mg tablet
images\med_696ae1bd_014.png	Vitamin D3 60000 Iu
images\med_c126403b_024.png	DONEPEZIL HCL
images\med_696ae1bd_004.png	vitamin d3 60000 iu
images\med_1e668cd4_023.png	TELMA 40MG TABLET
images\med_cc016fbc_014.png	500Mg
images\med_a9a99c83_004.png	tamsulosin hcl 0.4mg
images\med_8fb8564a_022.png	salbutamol 100mcg
images\med_3a1940c1_019.png	Ranitidine 150mg Tablet
images\med_59978ce5_016.png	BenadrylCoughSyrup
images\med_cc016fbc_016.png	Azithral500mgTablet
images\med_be0f137d_005.png	elder pharma
images\med_63bdcdad_014.png	MoxifloxacinHCl0.5%
images\med_a960b0ea_003.png	100MG
images\med_2171bf1c_001.png	sun pharma
images\med_a9a99c83_020.png	Tamsulosin HCl
images\med_06d5617a_022.png	Ciprofloxacin500mg
images\med_5a846311_012.png	OseltamivirPhosphate75mg
images\med_6678f79a_009.png	Allegra120mg
images\med_89cd823e_015.png	PARACETAMOL + PROPYPHENAZONE + CAFFEINE
images\med_8f908c02_023.png	100 IU/ML
images\med_22377fd2_000.png	Ecosprin 75Mg Tablet
images\med_1e668cd4_016.png	40 mg
images\med_5a94c15f_007.png	CLOTRIMAZOLE
images\med_8f908c02_001.png	100 iu/ml
images\med_f162e9c8_000.png	Olsar20mg
images\med_8efa4f6a_000.png	Levothyroxine 100 mcg
images\med_738912bb_005.png	5 mg
images\med_168cba08_024.png	Sanofi India
images\med_c6d7e0de_018.png	Lactulose
images\med_0133a0cb_022.png	DR. REDDY'S
images\med_0b20efea_011.png	NIMESULIDE
images\med_168cba08_000.png	PHENERGAN 25MG
images\med_1bffb35a_017.png	Metformin500mg
images\med_2d223f42_001.png	Terbinafine 250mg
images\med_8c9c87eb_024.png	10Mg
images\med_5a846311_011.png	Oseltamivir75mgCapsule
images\med_ca0a8ab3_005.png	clindamycin 300mg
images\med_a8d76f91_009.png	Norethisterone + Ethinyl Estradiol 1 mg + 0.035 mg
images\med_c0648a4e_004.png	alendronic acid 70mg
images\med_a9a99c83_025.png	Tamsulosin 0.4Mg Capsule
images\med_49978219_002.png	RAMIPRIL
images\med_befd0233_006.png	NovartisIndia
images\med_1bffb35a_019.png	metformin 500mg tablet
images\med_cc016fbc_013.png	500MG
images\med_168cba08_004.png	phenergan 25mg tablet
images\med_7c8a8df6_013.png	400Mg
images\med_294952e4_008.png	Dextromethorphan+ChlorpheniramineCompound
images\med_5a94c15f_017.png	Clotrimazole
images\med_2ae45ccf_008.png	sun pharma
images\med_22377fd2_002.png	Aspirin 75mg
images\med_7d0f40c9_020.png	400mg
images\med_a960b0ea_008.png	PfizerIndia
images\med_07dac638_021.png	vitamin b-complex standard
images\med_2171bf1c_002.png	SunPharma
images\med_294952e4_017.png	DEXTROMETHORPHAN + CHLORPHENIRAMINE
images\med_ff4cc516_028.png	EliLillyIndia
images\med_25d144ba_006.png	Ondansetron 4Mg
images\med_68cbc105_023.png	GSKIndia
images\med_6678f79a_013.png	Allegra 120 mg Tablet
images\med_35bc51a1_012.png	ARISTO PHARMA
images\med_0133a0cb_026.png	Losartan 50 mg
images\med_635f0b97_004.png	600Mg
images\med_289b4229_011.png	zentel 400mg
images\med_289b4229_029.png	Albendazole 400Mg
images\med_9b1b6f11_010.png	Acyclovir 400Mg
images\med_2ae45ccf_029.png	Amlodipine5mg
images\med_be0f137d_024.png	ELDER PHARMA
images\med_738912bb_008.png	Olanzapine5mg
images\med_223d0157_016.png	Cipla
images\med_54eb2f38_009.png	Ibuprofen + Paracetamol 400mg + 325mg
images\med_06d5617a_008.png	500mg
images\med_db966d24_025.png	Seroflo250InhalerInhaler
images\med_06d5617a_019.png	Cifran 500 mg Tablet
images\med_c6d7e0de_022.png	lactulose
images\med_d95c2b97_009.png	Metformin Hcl 1000Mg
images\med_a8d76f91_020.png	norethisterone + ethinyl estradiol
images\med_7f6dd7f5_011.png	brufen 400mg
images\med_e7334590_009.png	Doxycycline Hyclate
images\med_8f908c02_000.png	Lantus 100IU Injection
images\med_ecd67f3a_006.png	Retino-A 0.025% Cream Cream
images\med_0f285d70_018.png	Betnovate Cream
images\med_99374b8f_013.png	ASPIRIN 325MG
images\med_49978219_020.png	Ramipril
images\med_db966d24_022.png	SALMETEROL + FLUTICASONE 25MCG + 250MCG
images\med_deb81d93_014.png	Betamethasone 0.1%
images\med_7d0f40c9_017.png	400 mg
images\med_5a846311_016.png	OseltamivirPhosphate
images\med_59978ce5_018.png	diphenhydramine + ammonium chloride + sodium citrate
images\med_a960b0ea_000.png	PHENYTOIN 100MG
images\med_d7548961_011.png	GABAPENTIN
images\med_db966d24_000.png	CIPLA
images\med_ff4cc516_008.png	Huminsulin N 100 IU
images\med_9b1b6f11_011.png	Acyclovir400mgTablet
images\med_0f1728cf_012.png	Methylprednisolone 4 mg
images\med_3a1940c1_028.png	ranitidine hcl 150mg
images\med_168cba08_030.png	25mg
images\med_294952e4_007.png	franco-indian pharma
images\med_dfe5d351_017.png	Chloroquine Phosphate 250Mg
images\med_2171bf1c_020.png	pregabalin
images\med_49978219_009.png	Aventis Pharma
images\med_febe41f1_026.png	Sertraline Hcl 50Mg
images\med_2d223f42_017.png	250mg
images\med_2d223f42_002.png	Terbinafine HCl
images\med_21924655_006.png	Dexamethasone 0.5Mg Tablet
images\med_a8d76f91_017.png	Mala-DTablet
images\med_ee8e2396_011.png	Ipca Laboratories
images\med_49978219_012.png	Ramipril 5 mg
images\med_5d008352_019.png	FLUOXETINE 20MG
images\med_22377fd2_022.png	ECOSPRIN 75MG
images\med_2aefc1e7_025.png	Mox 500Mg
images\med_223d0157_019.png	5mg
images\med_c126403b_006.png	Donepezil HCl
images\med_db966d24_008.png	salmeterol + fluticasone
images\med_49978219_017.png	aventis pharma
images\med_43698167_020.png	Spironolactone 25mg Tablet
images\med_0b20efea_021.png	Nimesulide 100 mg Tablet
images\med_febe41f1_029.png	Sertraline HCl
images\med_e0edd5c4_016.png	cefixime 200mg
images\med_0f285d70_001.png	betamethasone valerate 0.1%
images\med_11787c7d_021.png	200Mg
images\med_696ae1bd_009.png	CHOLECALCIFEROL 60000 IU
images\med_cb7204d4_012.png	ABBOTT INDIA
images\med_e93a0754_025.png	micro labs
images\med_9b1b6f11_017.png	Cipla
images\med_deb81d93_015.png	Betnesol Eye Drop Eye Drop
images\med_0133a0cb_028.png	Losartan 50mg Tablet
images\med_5a846311_004.png	OSELTAMIVIR PHOSPHATE 75MG
images\med_659bda0a_024.png	Warfarin Sodium
images\med_63bdcdad_006.png	MOXIFLOXACIN HCL
images\med_289b4229_021.png	400mg
images\med_dfe5d351_002.png	ipca laboratories
images\med_c4dace63_000.png	Sumatriptan Succinate 50 mg
images\med_c6d7e0de_006.png	10g/15ml
images\med_d9dc56e0_002.png	100Mg
images\med_7d5c2b99_007.png	CARBIMAZOLE 5MG
images\med_280c681a_000.png	i-pill 1.5mg
images\med_f12eb12e_002.png	ASTRAZENECA INDIA
images\med_c4dace63_027.png	SumatriptanSuccinate50mg
images\med_07dac638_005.png	Becosules Capsule Capsule
images\med_99374b8f_007.png	Aspirin 325 mg
images\med_34c88a9e_003.png	sitagliptin 100mg
images\med_3a1940c1_004.png	150Mg
images\med_2ae45ccf_013.png	amlodipine besylate 5mg
images\med_2d223f42_021.png	novartis india
images\med_0b20efea_022.png	NIMESULIDE 100MG
images\med_5a846311_003.png	oseltamivir phosphate 75mg
images\med_63bdcdad_012.png	Moxifloxacin Hcl 0.5%
images\med_7d0f40c9_015.png	norfloxacin 400mg
images\med_8fb8564a_019.png	Salbutamol 100mcg
images\med_b65b6f2d_024.png	Sun Pharma
images\med_be0f137d_031.png	CalciumCarbonate+VitaminD3
images\med_3b9ad30b_025.png	Amitriptyline 25mg Tablet
images\med_7c3ed740_019.png	Metoprolol25mgTablet
images\med_a9a99c83_019.png	cipla
images\med_c126403b_004.png	donepezil hcl
images\med_febe41f1_003.png	SERTRALINE HCL
images\med_d9dc56e0_005.png	NITROFURANTOIN 100MG CAPSULE
images\med_8c9c87eb_002.png	SUDAFED PE TABLET
images\med_a8d76f91_000.png	Norethisterone+EthinylEstradiol
images\med_659bda0a_017.png	SUN PHARMA
images\med_d95c2b97_012.png	Usv Pharma
images\med_8b4252b2_020.png	Itraconazole 100 mg Capsule
images\med_49978219_010.png	Ramipril 5 mg Tablet
images\med_11787c7d_019.png	200mg
images\med_2291c346_014.png	Compound
images\med_ee8e2396_016.png	falcigo 200mg tablet
images\med_9cb4a48b_001.png	montair 10mg
images\med_d7548961_007.png	300mg
images\med_49978219_018.png	Ramipril 5mg Tablet
images\med_ee8e2396_003.png	ipca laboratories
images\med_a960b0ea_004.png	100Mg
images\med_c4c13132_018.png	DIGOXIN 0.25MG
images\med_34c88a9e_009.png	msd india
images\med_81d90895_011.png	Cadila Healthcare
images\med_25d144ba_002.png	ONDANSETRON 4MG
images\med_8d46c2a1_011.png	Atenolol
images\med_738912bb_015.png	olanzapine
images\med_ecd67f3a_009.png	retino-a 0.025% cream
images\med_35bc51a1_022.png	PANTOP 40MG TABLET
images\med_22377fd2_024.png	Ecosprin 75mg Tablet
images\med_294952e4_014.png	dextromethorphan + chlorpheniramine compound
images\med_8d46c2a1_020.png	Atenolol50mgTablet
images\med_2291c346_010.png	ABBOTT INDIA
images\med_d95c2b97_015.png	Glycomet1gmTablet
images\med_89cd823e_024.png	Saridon Tablet
images\med_c126403b_001.png	5Mg
images\med_7c8a8df6_011.png	metrogyl 400mg
images\med_7cbe86e2_002.png	Paracetamol 500Mg
images\med_7d0f40c9_012.png	400Mg
images\med_8efa4f6a_020.png	100mcg
images\med_280c681a_003.png	Levonorgestrel 1.5 mg
images\med_cb17285c_013.png	standard
images\med_2ae45ccf_001.png	5Mg
images\med_b65b6f2d_017.png	10 mg
images\med_68cbc105_018.png	augmentin 625mg tablet
images\med_59978ce5_009.png	BenadrylCoughSyrupSyrup
images\med_8c9c87eb_008.png	Sudafed PE Tablet
images\med_3a1940c1_021.png	150mg
images\med_07dac638_002.png	PfizerIndia
images\med_8a5e5f83_014.png	Timolol Maleate 0.5%
images\med_8c9c87eb_020.png	10MG
images\med_febe41f1_025.png	sertraline 50mg tablet
images\med_43698167_011.png	spironolactone 25mg
images\med_1bffb35a_031.png	USVPharma
images\med_7d0f40c9_027.png	Norflox 400Mg
images\med_81d90895_016.png	Calcirol60000IUGranules
images\med_4bd10aff_016.png	Galvus 50mg Tablet
images\med_5a846311_027.png	75mg
images\med_be0f137d_009.png	Shelcal 500Mg
images\med_6678f79a_005.png	Allegra 120Mg Tablet
images\med_be0f137d_004.png	500mg + 250 IU
images\med_294952e4_016.png	FRANCO-INDIAN PHARMA
images\med_168cba08_016.png	Phenergan 25Mg
images\med_5a6bf418_023.png	gsk india
images\med_7dad208c_014.png	Omez 20Mg Capsule
images\med_43698167_009.png	SUN PHARMA
images\med_97e744bf_024.png	Cetirizine HCl 10 mg
images\med_8a5e5f83_011.png	TIMOLOL MALEATE
images\med_c0648a4e_015.png	Alendronic Acid 70 mg
images\med_ca0a8ab3_029.png	Clindamycin 300Mg
images\med_7f6dd7f5_018.png	400 mg
images\med_1bffb35a_013.png	METFORMIN HCL 500MG
images\med_7c8a8df6_012.png	Metrogyl 400mg Tablet
images\med_8d46c2a1_012.png	Atenolol 50mg
images\med_0abbc03e_018.png	0.5Mg
images\med_22377fd2_023.png	USV PHARMA
images\med_2ae45ccf_021.png	Amlodipine 5Mg
images\med_c126403b_008.png	Donepezil 5mg Tablet
images\med_5a6bf418_010.png	eltroxin 50mcg tablet
images\med_4bd10aff_004.png	GALVUS 50MG TABLET
images\med_c0648a4e_023.png	ALENDRONIC ACID
images\med_4bd10aff_018.png	Vildagliptin 50mg
images\med_97e744bf_002.png	cetirizine 10mg tablet
images\med_54eb2f38_000.png	Combiflam Tablet
images\med_cb7204d4_010.png	abbott india
images\med_2171bf1c_015.png	75mg
images\med_8efa4f6a_007.png	thyronorm 100mcg tablet
images\med_25d144ba_011.png	SUN PHARMA
images\med_fed4f81f_011.png	Empagliflozin10mg
images\med_34c88a9e_010.png	Msd India
images\med_5a846311_028.png	Oseltamivir 75 mg Capsule
images\med_5d008352_011.png	FluoxetineHCl20mg
images\med_2ae45ccf_022.png	Amlodipine Besylate
images\med_7dad208c_020.png	Omeprazole 20mg
images\med_befd0233_015.png	Calcium Sandoz 500Mg
images\med_e7334590_006.png	DOXYCYCLINE HYCLATE 100MG
images\med_22377fd2_009.png	Ecosprin 75mg
images\med_0133a0cb_002.png	Losartan Potassium
images\med_68cbc105_004.png	AMOXICILLIN + CLAVULANATE 625MG
images\med_0f285d70_010.png	Gsk India
images\med_2d223f42_029.png	Terbinafine250mgTablet
images\med_7d0f40c9_022.png	NORFLOX 400MG TABLET
images\med_c6d7e0de_014.png	Lactulose 10g Syrup Syrup
images\med_f162e9c8_012.png	DaiichiSankyo
images\med_9cb4a48b_003.png	Montelukast
images\med_3b9ad30b_016.png	Amitriptyline HCl
images\med_1e668cd4_004.png	TELMA 40MG
images\med_e7334590_008.png	Doxycycline 100mg Capsule
images\med_289b4229_000.png	albendazole
images\med_89cd823e_013.png	paracetamol + propyphenazone + caffeine
images\med_7dad208c_006.png	20MG
images\med_d7548961_016.png	GABAPENTIN 300MG CAPSULE
images\med_7cbe86e2_000.png	CROCIN 500MG
images\med_5a6bf418_020.png	Eltroxin 50Mcg
images\med_3a1940c1_012.png	RANITIDINE HCL
images\med_635f0b97_003.png	mucinac 600mg
images\med_f12eb12e_017.png	Rosuvastatin 10Mg
images\med_7c3ed740_011.png	metoprolol 25mg
images\med_3d1f6924_012.png	standard
images\med_7f6dd7f5_019.png	IBUPROFEN 400MG
images\med_dfe5d351_013.png	chloroquine phosphate
images\med_43698167_010.png	Spironolactone
images\med_8c9c87eb_026.png	Sudafed Pe
images\med_5d008352_008.png	fluoxetine 20mg
images\med_7c3ed740_009.png	Metoprolol Succinate
images\med_7c8a8df6_010.png	Metrogyl 400 mg Tablet
images\med_cb7204d4_028.png	Duphaston 10mg
images\med_3d1f6924_016.png	B1 + B6 + B12 COMPLEX
images\med_5a6bf418_025.png	GSKIndia
images\med_07dac638_015.png	vitamin b-complex
images\med_68cbc105_020.png	Augmentin625mgTablet
images\med_ee8e2396_017.png	Falcigo 200Mg
images\med_2291c346_017.png	liquid paraffin + milk of magnesia compound
images\med_43698167_015.png	Spironolactone 25 mg
images\med_7dad208c_008.png	Omez 20 mg Capsule
images\med_2d223f42_022.png	250Mg
images\med_c4dace63_024.png	sumatriptan succinate 50mg
images\med_49978219_022.png	RAMIPRIL 5MG
images\med_81d90895_005.png	CHOLECALCIFEROL
images\med_5a846311_020.png	Roche India
images\med_8d46c2a1_014.png	atenolol 50mg
images\med_34c88a9e_000.png	Januvia 100mg
images\med_97e744bf_011.png	cetirizine 10mg
images\med_da56c31b_010.png	Clonazepam 0.5mg
images\med_35bc51a1_007.png	40Mg
images\med_5a94c15f_000.png	Clotrimazole1%Cream
images\med_befd0233_013.png	Calcium Sandoz 500 mg Tablet
images\med_de61ea08_005.png	Loratadine 10mg
images\med_696ae1bd_011.png	VITAMIN D3 60000 IU CAPSULE
images\med_168cba08_012.png	Promethazine HCl 25 mg
images\med_68cbc105_009.png	Amoxicillin+Clavulanate
images\med_f162e9c8_028.png	Olmesartan
images\med_c4dace63_021.png	SUMATRIPTAN SUCCINATE 50MG
images\med_ecd67f3a_016.png	retino-a 0.025% cream cream
images\med_2d223f42_018.png	Terbinafine HCl 250 mg
images\med_befd0233_021.png	CalciumCarbonate500mg
images\med_5d008352_027.png	Fluoxetine Hcl
images\med_c126403b_015.png	donepezil 5mg
images\med_3d1f6924_006.png	neurobion forte
images\med_a8d76f91_024.png	Hll Lifecare
images\med_d95c2b97_018.png	GLYCOMET 1GM TABLET
images\med_a9a99c83_012.png	tamsulosin 0.4mg
images\med_ee8e2396_021.png	ARTESUNATE
images\med_0b20efea_003.png	Nimesulide 100mg Tablet
images\med_f9979576_002.png	Tramadol50mg
images\med_97e744bf_008.png	CETIRIZINE 10MG TABLET
images\med_a9a99c83_029.png	Tamsulosin Hcl
images\med_3d1f6924_002.png	B1 + B6 + B12 Complex Standard
images\med_b3b2663f_005.png	Deriphyllin Retard
images\med_99374b8f_008.png	Disprin 325 mg
images\med_659bda0a_013.png	Warfarin Sodium 5Mg
images\med_cb7204d4_005.png	DUPHASTON 10MG
images\med_d7548961_005.png	300 mg
images\med_8fb8564a_021.png	SALBUTAMOL
images\med_5d008352_014.png	20mg
images\med_3a1940c1_002.png	150 mg
images\med_8d46c2a1_013.png	50mg
images\med_b3b2663f_020.png	DERIPHYLLIN RETARD
images\med_35bc51a1_001.png	Pantop40mgTablet
images\med_3b9ad30b_018.png	amitriptyline 25mg
images\med_168cba08_025.png	sanofi india
images\med_1e668cd4_014.png	GLENMARK
images\med_2d223f42_004.png	terbinafine 250mg
images\med_cb7204d4_017.png	Abbott India
images\med_7d5c2b99_006.png	Carbimazole
images\med_d9dc56e0_003.png	Nitrofurantoin 100 mg Capsule
images\med_da56c31b_022.png	0.5MG
images\med_f9979576_024.png	tramadol hcl
images\med_54eb2f38_001.png	400 mg + 325 mg
images\med_3b9ad30b_030.png	AMITRIPTYLINE 25MG
images\med_0b20efea_001.png	100MG
images\med_738912bb_001.png	5Mg
images\med_54eb2f38_014.png	Ibuprofen+Paracetamol400mg+325mg
images\med_99374b8f_015.png	Disprin325mgEffervescentTablet
images\med_0f1728cf_004.png	4Mg
images\med_223d0157_014.png	cipla
images\med_06d5617a_027.png	CIPROFLOXACIN
images\med_54eb2f38_017.png	400mg + 325mg
images\med_0133a0cb_029.png	Losartan 50mg
images\med_8a5e5f83_010.png	timolol 0.5% eye drop eye drop
images\med_cb7204d4_002.png	AbbottIndia
images\med_8f908c02_009.png	SanofiIndia
images\med_8efa4f6a_006.png	AbbottIndia
images\med_89cd823e_026.png	Paracetamol + Propyphenazone + Caffeine 250Mg + 150Mg + 50Mg
images\med_2aefc1e7_008.png	Mox 500 mg Capsule
images\med_11787c7d_000.png	CIPLA
images\med_de61ea08_014.png	loratadine
images\med_2aefc1e7_001.png	Mox 500 mg
images\med_68cbc105_006.png	Amoxicillin + Clavulanate 625mg
images\med_2aefc1e7_007.png	AMOXICILLIN 500MG
images\med_738912bb_012.png	SUN PHARMA
images\med_f9979576_026.png	tramadol 50mg tablet
images\med_8b4252b2_009.png	Itraconazole 100mg Capsule
images\med_cb17285c_000.png	AluminiumHydroxide+MagnesiumHydroxide+SimethiconeStandard
images\med_34c88a9e_024.png	JANUVIA 100MG TABLET
images\med_64f45aaa_004.png	Furosemide 40mg
images\med_c4bbc34a_015.png	Cipla
images\med_659bda0a_025.png	5mg
images\med_b3b2663f_009.png	150mg+25mg
images\med_018099b1_012.png	Risperidone 2 mg
images\med_9b1b6f11_012.png	400Mg
images\med_7dad208c_024.png	omeprazole
images\med_f162e9c8_014.png	DAIICHI SANKYO
images\med_f12eb12e_014.png	ROSUVASTATIN CALCIUM
images\med_be0f137d_000.png	500 mg + 250 IU
images\med_7d5c2b99_021.png	Carbimazole5mg
images\med_8d46c2a1_009.png	50 mg
images\med_d95c2b97_005.png	GLYCOMET 1GM
images\med_64f45aaa_000.png	FUROSEMIDE 40MG
images\med_cb17285c_005.png	ALUMINIUM HYDROXIDE + MAGNESIUM HYDROXIDE + SIMETHICONE STANDARD
images\med_933bc2d8_027.png	standard who formula
images\med_280c681a_017.png	I-Pill 1.5Mg
images\med_168cba08_002.png	PROMETHAZINE HCL 25MG
images\med_cc016fbc_004.png	Azithral 500 mg
images\med_b3b2663f_026.png	150mg + 25mg
images\med_5d008352_029.png	FLUOXETINE HCL
images\med_68cbc105_028.png	625mg
images\med_7d0f40c9_001.png	CIPLA
images\med_43698167_019.png	Spironolactone25mgTablet
images\med_e0edd5c4_019.png	200mg
images\med_64f45aaa_003.png	Furosemide40mg
images\med_c6d7e0de_012.png	SolvayPharmaIndia
images\med_ff4cc516_017.png	insulin isophane (nph)
images\med_7d0f40c9_014.png	Norfloxacin400mg
images\med_5a6bf418_028.png	GSK India
images\med_1bffb35a_008.png	USV Pharma
images\med_e7334590_024.png	Doxycycline100mgCapsule
images\med_8c9c87eb_011.png	Phenylephrine10mg
images\med_68cbc105_010.png	GSK INDIA
images\med_9b4b4ce2_013.png	Pfizer India
images\med_7cbe86e2_016.png	Gsk India
images\med_0133a0cb_001.png	LOSARTAN POTASSIUM
images\med_febe41f1_007.png	SunPharma
images\med_db3d2896_016.png	50 mg
images\med_7c3ed740_005.png	Metoprolol Succinate 25mg
images\med_696ae1bd_017.png	60000 iu
images\med_07dac638_016.png	Vitamin B-Complex Standard
images\med_6678f79a_001.png	FEXOFENADINE 120MG
images\med_7dad208c_015.png	OMEZ 20MG
images\med_a9a99c83_021.png	Cipla
images\med_8f908c02_016.png	Lantus 100 IU
images\med_8d46c2a1_016.png	Cipla
images\med_c126403b_029.png	Donepezil5mgTablet
images\med_8efa4f6a_013.png	Thyronorm100mcg
images\med_68cbc105_016.png	Amoxicillin + Clavulanate 625 mg
images\med_7d5c2b99_014.png	ABBOTT INDIA
images\med_25d144ba_010.png	Ondansetron
images\med_d95c2b97_000.png	usv pharma
images\med_07dac638_009.png	standard
images\med_0b20efea_019.png	MANKIND PHARMA
images\med_06d5617a_024.png	Ciprofloxacin 500Mg
images\med_3d1f6924_004.png	B1+B6+B12ComplexStandard
images\med_db966d24_023.png	Salmeterol + Fluticasone 25Mcg + 250Mcg
images\med_8d46c2a1_018.png	atenolol
images\med_289b4229_002.png	ALBENDAZOLE
images\med_8f908c02_019.png	sanofi india
images\med_8efa4f6a_025.png	LEVOTHYROXINE 100MCG
images\med_4bd10aff_011.png	Galvus50mgTablet
images\med_018099b1_001.png	Risperidone 2Mg Tablet
images\med_0f1728cf_015.png	methylprednisolone
images\med_e0edd5c4_001.png	200MG
images\med_ca0a8ab3_025.png	Clindamycin HCl 300mg
images\med_223d0157_007.png	FolicAcid5mg
images\med_696ae1bd_025.png	cholecalciferol
images\med_7c8a8df6_022.png	Metrogyl 400mg
images\med_b8518679_018.png	glimepiride 2mg tablet
images\med_8a5e5f83_009.png	SUN PHARMA
images\med_9cb4a48b_017.png	cipla
images\med_3a1940c1_007.png	RANITIDINE 150MG
images\med_8f908c02_004.png	Lantus 100IU
images\med_64f45aaa_014.png	Furosemide
images\med_c4bbc34a_003.png	Domperidone 10mg
images\med_7f6dd7f5_023.png	Brufen400mg
images\med_7f6dd7f5_006.png	Brufen 400Mg
images\med_7dad208c_025.png	20Mg
images\med_b3b2663f_008.png	franco-indian pharma
images\med_7c3ed740_029.png	25mg
images\med_4bd10aff_014.png	Vildagliptin 50 mg
images\med_7c3ed740_012.png	astrazeneca india
images\med_81d90895_025.png	cholecalciferol
images\med_018099b1_010.png	risperidone 2mg
images\med_c4bbc34a_016.png	Domperidone 10Mg
images\med_9b1b6f11_005.png	acyclovir
images\med_99374b8f_026.png	Disprin 325 mg Effervescent Tablet
images\med_49978219_016.png	Ramipril 5Mg
images\med_ff4cc516_021.png	HuminsulinN100IU
images\med_63bdcdad_001.png	SunPharma
images\med_3a1940c1_022.png	Cipla
images\med_da56c31b_016.png	Clonazepam
images\med_befd0233_028.png	500 mg
images\med_2ae45ccf_003.png	Amlodipine Besylate 5Mg
images\med_f9979576_016.png	TRAMADOL 50MG
images\med_933bc2d8_002.png	ORS ELECTRAL POWDER POWDER
images\med_ee8e2396_023.png	Artesunate200mg
images\med_3b9ad30b_008.png	SunPharma
images\med_25d144ba_016.png	4mg
images\med_7dad208c_000.png	Omeprazole 20 mg
images\med_8f908c02_025.png	SANOFI INDIA
images\med_7f6dd7f5_001.png	Brufen 400mg
images\med_c4dace63_015.png	SUN PHARMA
images\med_9b4b4ce2_021.png	pfizer india
images\med_168cba08_011.png	PROMETHAZINE HCL
images\med_0abbc03e_016.png	0.5mg
images\med_81d90895_001.png	60000IU
images\med_0f285d70_019.png	GSK India
images\med_e37fc85a_020.png	150mg
images\med_659bda0a_015.png	Warfarin 5Mg Tablet
images\med_a9a99c83_010.png	0.4mg
images\med_0abbc03e_017.png	alprazolam 0.5mg tablet
images\med_34c88a9e_008.png	Januvia100mg
images\med_0b20efea_018.png	Nimesulide 100Mg Tablet
images\med_21924655_004.png	Dexamethasone 0.5 mg
images\med_933bc2d8_013.png	ors electral powder powder
images\med_1bffb35a_012.png	500Mg
images\med_dfe5d351_001.png	IPCA LABORATORIES
images\med_ca0a8ab3_012.png	CLINDAMYCIN 300MG CAPSULE
images\med_c4c13132_023.png	0.25mg
images\med_c6d7e0de_023.png	Lactulose10g/15ml
images\med_9cb4a48b_013.png	Montelukast 10Mg
images\med_9b4b4ce2_001.png	Wysolone 5mg
images\med_223d0157_004.png	5 mg
images\med_34c88a9e_020.png	Sitagliptin 100Mg
images\med_8b4252b2_007.png	itraconazole 100mg capsule
images\med_280c681a_005.png	LEVONORGESTREL
images\med_64f45aaa_018.png	Sanofi India
images\med_d7548961_001.png	Gabapentin 300mg Capsule
images\med_54eb2f38_008.png	Combiflam Tablet Tablet
images\med_e93a0754_002.png	Dolo650mg
images\med_68cbc105_017.png	Augmentin 625mg
images\med_ecd67f3a_014.png	Retino-A0.025%Cream
images\med_5a94c15f_014.png	Clotrimazole 1%
images\med_97e744bf_017.png	10 mg
images\med_3a1940c1_008.png	Ranitidine150mg
images\med_9cb4a48b_006.png	MONTAIR 10MG TABLET
images\med_c4bbc34a_013.png	DOMPERIDONE 10MG TABLET
images\med_ca0a8ab3_013.png	Clindamycin Hcl 300Mg
images\med_2aefc1e7_019.png	Amoxicillin 500Mg
images\med_a960b0ea_024.png	Phenytoin 100 mg
images\med_4bd10aff_021.png	galvus 50mg
images\med_ca0a8ab3_008.png	PfizerIndia
images\med_2d223f42_005.png	terbinafine hcl
images\med_5a6bf418_013.png	Levothyroxine 50 mcg
images\med_3a1940c1_026.png	Ranitidine HCl
images\med_ee8e2396_028.png	200Mg
images\med_2d223f42_007.png	TERBINAFINE 250MG TABLET
images\med_befd0233_022.png	CALCIUM SANDOZ 500MG TABLET
images\med_c4dace63_008.png	Sumatriptan 50mg Tablet
images\med_8fb8564a_017.png	Asthalin Inhaler Inhaler
images\med_2d223f42_006.png	Terbinafine Hcl 250Mg
images\med_294952e4_011.png	Franco-Indian Pharma
images\med_0f1728cf_013.png	METHYL PREDNISOLONE 4MG
images\med_ff4cc516_020.png	eli lilly india
images\med_7c8a8df6_027.png	METRONIDAZOLE 400MG
images\med_25d144ba_004.png	SunPharma
images\med_b3b2663f_022.png	DERIPHYLLIN RETARD TABLET
images\med_738912bb_019.png	Sun Pharma
images\med_9b1b6f11_020.png	Acyclovir400mg
images\med_7d5c2b99_005.png	AbbottIndia
images\med_e37fc85a_016.png	Fluconazole150mg
images\med_35bc51a1_016.png	AristoPharma
images\med_7c8a8df6_019.png	400MG
images\med_3a1940c1_018.png	cipla
images\med_11787c7d_002.png	FERROUS SULPHATE 200MG
images\med_64f45aaa_006.png	40Mg
images\med_2291c346_012.png	Liquid Paraffin + Milk of Magnesia
images\med_168cba08_022.png	Phenergan 25Mg Tablet
images\med_7d0f40c9_004.png	Norflox400mgTablet
images\med_5a846311_021.png	Oseltamivir Phosphate
images\med_659bda0a_021.png	Warfarin Sodium 5 mg
